epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2377.12,1.35706,0.47414,0.80114,1,0.94383,0.99407,0.63801,1.19498,0.43895,0.82029,0.003268,0.003268,0.003268
70,2419.36,1.295,0.48665,0.7933,0.98978,0.94978,0.98976,0.66605,1.10022,0.43383,0.81834,0.003169,0.003169,0.003169
71,2463.54,1.32264,0.50087,0.7952,0.99658,0.95263,0.99147,0.64775,1.12986,0.42659,0.81835,0.00307,0.00307,0.00307
72,2508.21,1.34114,0.48091,0.79442,0.99655,0.94272,0.99251,0.65023,1.10742,0.42442,0.81691,0.002971,0.002971,0.002971
73,2552.92,1.33041,0.48662,0.79999,0.98627,0.93876,0.99185,0.65233,1.10833,0.44034,0.81739,0.002872,0.002872,0.002872
74,2584.8,1.29493,0.48767,0.79716,1,0.90167,0.99347,0.66202,1.102,0.42726,0.81843,0.002773,0.002773,0.002773
75,2610.79,1.24663,0.48396,0.78795,0.98967,0.93895,0.99292,0.66598,1.07746,0.45959,0.81782,0.002674,0.002674,0.002674
76,2636.87,1.25338,0.46649,0.78925,0.96978,0.94384,0.99044,0.64516,1.15337,0.44214,0.81862,0.002575,0.002575,0.002575
77,2663,1.22476,0.45771,0.79507,0.98608,0.92597,0.99196,0.6646,1.03084,0.45288,0.8152,0.002476,0.002476,0.002476
78,2688.82,1.21645,0.46431,0.79079,0.99653,0.93949,0.99399,0.66549,1.08424,0.42193,0.81662,0.002377,0.002377,0.002377
79,2714.96,1.19573,0.44245,0.79944,1,0.9258,0.99331,0.67683,1.01192,0.40282,0.81541,0.002278,0.002278,0.002278
80,2741.01,1.17391,0.44347,0.78787,0.99054,0.93137,0.99227,0.68262,1.00452,0.41476,0.81615,0.002179,0.002179,0.002179
81,2766.76,1.19622,0.45018,0.79778,1,0.92797,0.9928,0.68347,0.98185,0.42327,0.81571,0.00208,0.00208,0.00208
82,2792.75,1.1882,0.43486,0.79171,1,0.95801,0.99414,0.68682,1.00541,0.40756,0.81639,0.001981,0.001981,0.001981
83,2818.99,1.15038,0.44318,0.79495,1,0.93072,0.99412,0.69171,0.98529,0.38861,0.81524,0.001882,0.001882,0.001882
84,2844.93,1.13621,0.42695,0.79712,0.99663,0.96685,0.99415,0.71464,0.92593,0.3804,0.81629,0.001783,0.001783,0.001783
